Identified Proteins (934),Accession Number,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,C_D2,Gpool_D2,C_D21,Gpool_D21,C_D42,Gpool_D42,Ves_C_D42,Ves_G_D42
Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=4,Q8NF91,1011 kDa,,unknown,0,2,1,1,0,1,0,0
26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1,P62333,44 kDa,TRUE,unknown,0,9,14,30,0,0,0,0
26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,Q13200,100 kDa,,unknown,0,7,13,22,0,0,5,1
T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,P50990,60 kDa,,unknown,0,3,20,31,0,0,0,0
Signal peptidase complex subunit 3 OS=Homo sapiens GN=SPCS3 PE=1 SV=1,P61009,20 kDa,TRUE,unknown,3,3,3,3,0,2,0,0
Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1,P00450,122 kDa,,unknown,0,0,0,0,0,0,20,32
Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1,P05109,11 kDa,,unknown,8,6,8,4,6,4,1,1
Charged multivesicular body protein 1b OS=Homo sapiens GN=CHMP1B PE=1 SV=1,Q7LBR1,22 kDa,,unknown,2,3,6,11,5,6,0,0
26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1,Q15008,46 kDa,,unknown,0,13,15,26,0,0,0,0
Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2,P00736,80 kDa,,unknown,5,6,3,3,4,0,0,31
ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2,P62330,20 kDa,TRUE,unknown,8,8,7,6,7,10,3,3
Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 PE=1 SV=3,P54578,56 kDa,,unknown,0,0,1,2,0,0,32,12
PQ-loop repeat-containing protein 1 OS=Homo sapiens GN=PQLC1 PE=2 SV=1,Q8N2U9,30 kDa,,unknown,9,10,6,12,8,13,0,0
Serine/threonine-protein kinase TAO3 OS=Homo sapiens GN=TAOK3 PE=1 SV=2,Q9H2K8,105 kDa,,unknown,0,0,0,0,0,0,23,17
ADP-ribosylation factor-like protein 15 OS=Homo sapiens GN=ARL15 PE=1 SV=1,Q9NXU5,23 kDa,,unknown,12,7,7,3,9,10,0,0
26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3,O00232,53 kDa,,unknown,0,8,17,23,0,1,0,0
Ig lambda chain V-III region LOI OS=Homo sapiens PE=1 SV=1,P80748,12 kDa,,unknown,5,8,7,4,6,8,0,0
ER lumen protein-retaining receptor 1 OS=Homo sapiens GN=KDELR1 PE=1 SV=1,P24390,25 kDa,TRUE,unknown,3,6,4,1,1,3,0,0
DnaJ homolog subfamily B member 4 OS=Homo sapiens GN=DNAJB4 PE=1 SV=1,Q9UDY4,38 kDa,TRUE,unknown,13,5,9,6,10,4,0,0
Glutathione peroxidase 1 OS=Homo sapiens GN=GPX1 PE=1 SV=4,P07203,22 kDa,,unknown,5,5,4,5,4,8,4,17
Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4 PE=1 SV=1,Q7Z7H5,26 kDa,TRUE,unknown,6,4,4,2,4,5,0,0
GTPase HRas OS=Homo sapiens GN=HRAS PE=1 SV=1,P01112,21 kDa,TRUE,unknown,30,28,31,24,28,30,0,0
Protein kish-A OS=Homo sapiens GN=TMEM167A PE=1 SV=1,Q8TBQ9,8 kDa,,unknown,4,5,5,4,4,4,0,0
Vacuolar protein sorting-associated protein 13A OS=Homo sapiens GN=VPS13A PE=1 SV=2,Q96RL7,360 kDa,,unknown,7,3,6,5,3,3,0,0
Malate dehydrogenase cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4,P40925,36 kDa,,unknown,0,0,0,0,0,0,15,20
Myosin light chain 4 OS=Homo sapiens GN=MYL4 PE=1 SV=3,P12829,22 kDa,,unknown,4,5,14,8,9,9,0,0
Keratin type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5,Q92764,50 kDa,TRUE,unknown,0,0,0,0,0,0,8,0
Vesicle-associated membrane protein 8 OS=Homo sapiens GN=VAMP8 PE=1 SV=1,Q9BV40,11 kDa,,unknown,12,9,6,7,4,6,0,0
UDP-glucuronosyltransferase 3A1 OS=Homo sapiens GN=UGT3A1 PE=2 SV=1,Q6NUS8,59 kDa,,unknown,0,0,0,2,0,0,0,0
Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4,P22061,25 kDa,,unknown,0,1,7,5,3,5,13,13
Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1,O43633,25 kDa,,unknown,1,2,6,5,6,4,0,0
Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens GN=PYCRL PE=1 SV=3,Q53H96,29 kDa,,unknown,7,2,12,4,15,2,0,0
Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2,P00441,16 kDa,,unknown,0,0,0,0,0,0,16,19
Ig heavy chain V-III region TRO OS=Homo sapiens PE=1 SV=1,P01762,13 kDa,TRUE,unknown,0,2,0,0,0,0,0,0
Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1,P06702,13 kDa,,unknown,3,4,6,7,5,0,4,2
Complement receptor type 1 OS=Homo sapiens GN=CR1 PE=1 SV=3,P17927,224 kDa,,unknown,4,2,8,2,2,2,10,11
Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1,Q99733,43 kDa,TRUE,unknown,1,8,7,10,6,8,7,2
Solute carrier family 2 facilitated glucose transporter member 3 OS=Homo sapiens GN=SLC2A3 PE=1 SV=1,P11169,54 kDa,TRUE,unknown,2,2,6,1,2,5,0,0
Ig lambda chain V-I region WAH OS=Homo sapiens PE=1 SV=1,P04208,12 kDa,TRUE,unknown,10,8,4,6,7,8,0,3
Immunoglobulin J chain OS=Homo sapiens GN=IGJ PE=1 SV=4,P01591,18 kDa,,unknown,0,0,0,0,0,0,6,31
MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens GN=MARK3 PE=1 SV=4,P27448,84 kDa,TRUE,unknown,6,7,10,4,7,7,0,0
RNA 3'-terminal phosphate cyclase OS=Homo sapiens GN=RTCA PE=1 SV=1,O00442,39 kDa,,unknown,3,4,9,8,11,12,0,0
Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,P30086,21 kDa,,unknown,0,0,0,0,0,0,14,23
Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1,P61626,17 kDa,,unknown,8,7,4,4,7,6,0,0
Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2,P63241,17 kDa,,unknown,0,0,0,0,0,2,20,24
Keratin type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=2 SV=3,Q15323,47 kDa,TRUE,unknown,0,25,0,0,0,6,10,3
ATP-dependent 6-phosphofructokinase liver type OS=Homo sapiens GN=PFKL PE=1 SV=6,P17858,85 kDa,TRUE,unknown,0,0,6,14,9,10,0,0
Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1,Q8NBX0,47 kDa,,unknown,3,5,10,8,9,8,0,0
Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3,P23528,19 kDa,TRUE,unknown,0,0,0,0,0,0,12,21
Hemoglobin subunit gamma-1 OS=Homo sapiens GN=HBG1 PE=1 SV=2,P69891,16 kDa,TRUE,unknown,0,0,0,0,0,0,184,203
Monocarboxylate transporter 1 OS=Homo sapiens GN=SLC16A1 PE=1 SV=3,P53985,54 kDa,,unknown,6,3,5,5,3,3,0,0
Complement C1s subcomponent OS=Homo sapiens GN=C1S PE=1 SV=1,P09871,77 kDa,TRUE,unknown,4,2,0,0,0,0,2,29
Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens GN=ERGIC1 PE=1 SV=1,Q969X5,33 kDa,,unknown,4,2,6,4,5,4,0,0
Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4,P23526,48 kDa,,unknown,0,0,0,0,0,0,24,16
Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,P22314,118 kDa,,unknown,0,0,0,0,0,0,17,19
Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2,Q9Y3B3,25 kDa,,unknown,6,7,5,3,2,6,0,0
Protein SMG8 OS=Homo sapiens GN=SMG8 PE=1 SV=1,Q8ND04,110 kDa,,unknown,0,0,0,0,0,0,0,2
Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2,O14950 (+1),20 kDa,,unknown,6,7,11,7,9,7,0,0
Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,P21980,77 kDa,,unknown,0,0,0,0,0,0,27,18
Protein lin-7 homolog C OS=Homo sapiens GN=LIN7C PE=1 SV=1,Q9NUP9,22 kDa,,unknown,8,8,6,7,5,7,0,0
COP9 signalosome complex subunit 1 OS=Homo sapiens GN=GPS1 PE=1 SV=4,Q13098,56 kDa,,unknown,0,0,0,4,0,0,0,0
Alpha-synuclein OS=Homo sapiens GN=SNCA PE=1 SV=1,P37840,14 kDa,,unknown,0,1,0,2,3,2,7,21
Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,P05023,113 kDa,,unknown,3,7,3,5,2,9,1,0
EH domain-binding protein 1-like protein 1 OS=Homo sapiens GN=EHBP1L1 PE=1 SV=2,Q8N3D4,162 kDa,,unknown,0,0,0,0,1,0,30,6
RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,Q9Y265,50 kDa,,unknown,0,0,3,5,0,3,12,11
Syntaxin-binding protein 3 OS=Homo sapiens GN=STXBP3 PE=1 SV=2,O00186,68 kDa,,unknown,9,6,9,5,8,5,0,0
Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2,Q9H6R4,128 kDa,,unknown,0,0,0,1,0,0,0,0
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,P17987,60 kDa,,unknown,0,4,7,17,0,7,0,0
Keratin type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 PE=1 SV=1,Q86Y46,59 kDa,TRUE,unknown,0,0,0,0,0,0,13,0
Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2,A2RRP1,269 kDa,,unknown,6,1,1,2,2,3,0,0
Vesicle transport protein SFT2B OS=Homo sapiens GN=SFT2D2 PE=1 SV=1,O95562,18 kDa,,unknown,7,5,5,5,5,3,0,0
Protein bassoon OS=Homo sapiens GN=BSN PE=2 SV=4,Q9UPA5,416 kDa,,unknown,1,0,0,0,0,0,0,0
ADP-ribosylation factor-like protein 6-interacting protein 1 OS=Homo sapiens GN=ARL6IP1 PE=1 SV=2,Q15041,23 kDa,,unknown,4,4,2,3,2,2,0,0
ATP-binding cassette sub-family G member 2 OS=Homo sapiens GN=ABCG2 PE=1 SV=3,Q9UNQ0,72 kDa,,unknown,5,7,2,5,2,3,0,0
Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,P04632,28 kDa,,unknown,3,5,8,4,0,3,3,1
Q5VT06-DECOY,Q5VT06-DECOY,?,TRUE,unknown,1,2,0,0,0,0,0,0
Zinc finger CCCH domain-containing protein 13 OS=Homo sapiens GN=ZC3H13 PE=1 SV=1,Q5T200,197 kDa,,unknown,0,0,0,1,0,0,0,0
T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4,P49368,61 kDa,,unknown,0,1,3,21,0,2,0,1
Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens GN=GCLC PE=1 SV=2,P48506,73 kDa,,unknown,0,0,0,0,0,0,15,10
PDZK1-interacting protein 1 OS=Homo sapiens GN=PDZK1IP1 PE=1 SV=1,Q13113,12 kDa,,unknown,11,4,6,0,0,4,0,0
Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,P14923,82 kDa,TRUE,unknown,0,1,0,0,13,1,17,0
V-type proton ATPase subunit d 1 OS=Homo sapiens GN=ATP6V0D1 PE=1 SV=1,P61421,40 kDa,,unknown,6,5,7,6,8,4,0,0
Retinol dehydrogenase 11 OS=Homo sapiens GN=RDH11 PE=1 SV=2,Q8TC12,35 kDa,,unknown,8,7,5,7,4,8,0,0
Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,P34932,94 kDa,TRUE,unknown,0,0,0,0,0,0,14,11
T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,P78371,57 kDa,,unknown,0,0,10,22,0,0,0,0
Ras-related protein Rab-5A OS=Homo sapiens GN=RAB5A PE=1 SV=2,P20339,24 kDa,TRUE,unknown,6,8,10,11,15,12,0,0
Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1,P10909,52 kDa,TRUE,unknown,2,2,2,0,3,2,9,12
Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,O60610,141 kDa,,unknown,0,0,0,0,0,0,21,4
Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4,P36955,46 kDa,,unknown,7,7,6,5,3,4,0,0
Syntaxin-2 OS=Homo sapiens GN=STX2 PE=1 SV=3,P32856,33 kDa,,unknown,5,5,6,8,6,9,0,0
Emerin OS=Homo sapiens GN=EMD PE=1 SV=1,P50402,29 kDa,,unknown,7,4,4,4,6,4,0,0
UPF0556 protein C19orf10 OS=Homo sapiens GN=C19orf10 PE=1 SV=1,Q969H8,19 kDa,,unknown,6,8,6,2,4,6,0,0
Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4,P15311,69 kDa,TRUE,unknown,8,12,10,11,7,7,0,37
G protein-coupled receptor kinase 6 OS=Homo sapiens GN=GRK6 PE=1 SV=2,P43250,66 kDa,,unknown,7,9,3,8,2,4,0,0
Vasodilator-stimulated phosphoprotein OS=Homo sapiens GN=VASP PE=1 SV=3,P50552,40 kDa,,unknown,12,5,6,4,3,0,0,0
Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Homo sapiens GN=GABARAPL1 PE=1 SV=1,Q9H0R8,14 kDa,TRUE,unknown,14,8,12,8,9,0,0,0
Hemoglobin subunit mu OS=Homo sapiens GN=HBM PE=2 SV=1,Q6B0K9,16 kDa,,unknown,0,3,0,0,0,5,0,10
Tensin-1 OS=Homo sapiens GN=TNS1 PE=1 SV=2,Q9HBL0,186 kDa,,unknown,2,2,0,1,4,5,0,0
Serine hydroxymethyltransferase cytosolic OS=Homo sapiens GN=SHMT1 PE=1 SV=1,P34896,53 kDa,TRUE,unknown,6,8,2,6,3,3,0,0
SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,P63279,18 kDa,,unknown,6,3,8,4,7,7,0,0
Oxidoreductase HTATIP2 OS=Homo sapiens GN=HTATIP2 PE=1 SV=2,Q9BUP3,27 kDa,,unknown,9,4,5,2,8,3,0,0
Mannan-binding lectin serine protease 1 OS=Homo sapiens GN=MASP1 PE=1 SV=3,P48740,79 kDa,TRUE,unknown,0,0,0,0,0,0,0,43
Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2,P37837,38 kDa,,unknown,0,0,0,0,0,0,4,15
Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2,Q9Y3D6,17 kDa,,unknown,4,4,5,4,0,2,0,0
6-phosphogluconate dehydrogenase decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3,P52209,53 kDa,,unknown,0,0,0,0,0,0,12,8
Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=1 SV=4,Q14624,103 kDa,,unknown,0,0,0,0,0,0,2,23
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1,P61088,17 kDa,,unknown,0,2,0,6,6,0,6,8
Spectrin alpha chain non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3,Q13813,285 kDa,TRUE,unknown,0,0,1,0,2,0,0,0
Ras-related protein Rab-11B OS=Homo sapiens GN=RAB11B PE=1 SV=4,Q15907,24 kDa,,unknown,5,3,5,3,4,4,0,4
RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3,Q9Y230,51 kDa,,unknown,0,0,0,2,0,0,22,9
Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens GN=FKBP2 PE=1 SV=2,P26885,16 kDa,,unknown,5,5,3,5,3,5,0,0
Tyrosine-protein kinase Lyn OS=Homo sapiens GN=LYN PE=1 SV=3,P07948,59 kDa,TRUE,unknown,0,3,0,2,0,0,0,0
26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=1 SV=2,P51665,37 kDa,,unknown,0,6,8,14,0,0,0,0
Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=1 SV=3,P20020,139 kDa,TRUE,unknown,32,32,25,29,25,17,0,0
L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,P00338,37 kDa,TRUE,unknown,0,0,0,0,0,0,12,7
PRA1 family protein 2 OS=Homo sapiens GN=PRAF2 PE=1 SV=1,O60831,19 kDa,,unknown,6,7,3,7,5,6,0,0
Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,P29401,68 kDa,,unknown,0,0,0,0,0,0,12,9
Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1,P07477,27 kDa,,unknown,2,0,0,0,2,0,0,4
PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1,O75915,22 kDa,,unknown,5,8,2,4,0,7,0,0
Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1,O95747,58 kDa,,unknown,0,0,3,3,0,0,13,11
Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2,P50454,46 kDa,,unknown,6,4,7,0,7,4,0,0
Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3,Q15691,30 kDa,,unknown,4,3,7,7,3,5,0,2
P02549-DECOY,P02549-DECOY,?,TRUE,unknown,1,0,0,0,1,0,0,0
Centromere-associated protein E OS=Homo sapiens GN=CENPE PE=1 SV=2,Q02224,316 kDa,TRUE,unknown,0,0,0,0,0,0,0,2
Histidine-rich glycoprotein OS=Homo sapiens GN=HRG PE=1 SV=1,P04196,60 kDa,,unknown,0,0,0,0,0,0,6,23
Protein FAM83F OS=Homo sapiens GN=FAM83F PE=1 SV=1,Q8NEG4,55 kDa,,unknown,0,0,0,0,1,0,0,0
Ig lambda chain V-I region NEW OS=Homo sapiens PE=1 SV=1,P01701,11 kDa,TRUE,unknown,0,3,3,4,3,0,0,3
Syntaxin-binding protein 2 OS=Homo sapiens GN=STXBP2 PE=1 SV=2,Q15833,66 kDa,,unknown,3,3,4,3,3,2,0,0
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens GN=DAD1 PE=1 SV=3,P61803,12 kDa,,unknown,6,6,6,5,6,6,0,0
Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1,P30626,22 kDa,,unknown,0,0,0,0,0,0,6,19
Keratin type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2,O95678,60 kDa,TRUE,unknown,0,0,0,0,0,0,0,8
Complement factor B OS=Homo sapiens GN=CFB PE=1 SV=2,P00751,86 kDa,,unknown,0,0,0,0,0,0,5,22
Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2,P53004,33 kDa,,unknown,0,0,0,0,5,2,12,11
Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens GN=DHRS7B PE=1 SV=2,Q6IAN0,35 kDa,,unknown,4,5,6,6,4,5,0,0
26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,Q99460,106 kDa,,unknown,0,1,7,16,0,0,0,0
ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1,P61221,67 kDa,TRUE,unknown,5,6,0,7,1,0,0,0
Proline synthase co-transcribed bacterial homolog protein OS=Homo sapiens GN=PROSC PE=1 SV=1,O94903,30 kDa,,unknown,0,0,7,6,8,7,0,0
Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3,P18428,53 kDa,TRUE,unknown,0,0,0,0,0,0,11,10
Ig heavy chain V-III region GAL OS=Homo sapiens PE=1 SV=1,P01781,13 kDa,TRUE,unknown,3,0,3,2,0,0,0,4
Epithelial membrane protein 3 OS=Homo sapiens GN=EMP3 PE=2 SV=1,P54852,18 kDa,,unknown,4,3,4,4,2,4,0,0
Paraplegin OS=Homo sapiens GN=SPG7 PE=1 SV=2,Q9UQ90,88 kDa,TRUE,unknown,0,2,0,0,3,0,0,0
Carnitine O-palmitoyltransferase 1 liver isoform OS=Homo sapiens GN=CPT1A PE=1 SV=2,P50416,88 kDa,,unknown,0,4,2,4,0,4,0,0
26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens GN=PSMD8 PE=1 SV=2,P48556,40 kDa,,unknown,0,5,4,13,0,0,0,0
D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3,P30046,13 kDa,,unknown,0,0,0,0,0,0,13,14
Keratin type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3,P02538,60 kDa,TRUE,unknown,0,61,37,0,57,0,60,0
Vitamin K epoxide reductase complex subunit 1-like protein 1 OS=Homo sapiens GN=VKORC1L1 PE=1 SV=2,Q8N0U8,20 kDa,TRUE,unknown,6,5,4,3,7,3,0,0
Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2,O43169,16 kDa,,unknown,2,6,0,5,6,6,0,0
Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2,Q13404,16 kDa,TRUE,unknown,0,0,0,0,0,0,12,12
E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3,Q7Z6Z7,482 kDa,TRUE,unknown,0,0,0,5,0,0,0,0
Q01484-DECOY,Q01484-DECOY,?,,unknown,0,0,0,0,0,0,0,1
Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4,P08603,139 kDa,TRUE,unknown,0,0,0,0,0,0,4,20
Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1,Q16563,29 kDa,,unknown,0,10,0,0,0,3,0,0
Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2,Q02413,114 kDa,,unknown,0,4,0,0,3,0,2,3
Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,Q9NQC3,130 kDa,,unknown,0,3,0,3,3,2,0,0
Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1,O95373,120 kDa,TRUE,unknown,0,1,2,3,0,0,2,3
Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1,P07099,53 kDa,,unknown,7,6,2,1,0,3,0,0
Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,Q14974,97 kDa,,unknown,0,0,2,7,0,0,15,0
Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens GN=USP5 PE=1 SV=2,P45974,96 kDa,,unknown,0,0,0,0,0,0,13,11
Intermediate conductance calcium-activated potassium channel protein 4 OS=Homo sapiens GN=KCNN4 PE=1 SV=1,O15554,48 kDa,,unknown,0,3,0,7,1,2,0,0
Rho-related GTP-binding protein RhoG OS=Homo sapiens GN=RHOG PE=1 SV=1,P84095,21 kDa,TRUE,unknown,4,5,10,5,9,10,0,0
SPRY domain-containing protein 7 OS=Homo sapiens GN=SPRYD7 PE=1 SV=2,Q5W111,22 kDa,,unknown,6,3,4,3,5,3,0,0
Vacuolar protein-sorting-associated protein 25 OS=Homo sapiens GN=VPS25 PE=1 SV=1,Q9BRG1,21 kDa,,unknown,0,2,5,6,6,8,0,2
Apolipoprotein L1 OS=Homo sapiens GN=APOL1 PE=1 SV=5,O14791,44 kDa,,unknown,0,0,0,0,0,0,9,13
IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1,P53990,40 kDa,,unknown,0,0,0,0,5,0,3,2
Ig lambda chain V-III region SH OS=Homo sapiens PE=1 SV=1,P01714,11 kDa,,unknown,4,2,3,3,3,3,0,4
CD99 antigen OS=Homo sapiens GN=CD99 PE=1 SV=1,P14209,19 kDa,,unknown,0,0,0,0,0,3,1,0
Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3,O95573,80 kDa,TRUE,unknown,4,5,4,4,1,2,0,0
Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2,Q00577,35 kDa,,unknown,0,0,6,8,3,2,0,0
T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1,P48643,60 kDa,,unknown,0,0,4,14,0,0,0,2
Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3,P59998,20 kDa,,unknown,0,1,5,6,5,7,0,0
Ig heavy chain V-III region CAM OS=Homo sapiens PE=1 SV=1,P01768,14 kDa,TRUE,unknown,0,0,0,0,0,0,0,4
Rabankyrin-5 OS=Homo sapiens GN=ANKFY1 PE=1 SV=2,Q9P2R3,128 kDa,TRUE,unknown,0,0,0,0,0,0,4,0
Ubiquitin-associated domain-containing protein 1 OS=Homo sapiens GN=UBAC1 PE=1 SV=1,Q9BSL1,45 kDa,,unknown,0,0,0,1,0,0,1,0
Lck-interacting transmembrane adapter 1 OS=Homo sapiens GN=LIME1 PE=1 SV=1,Q9H400,31 kDa,,unknown,4,4,0,4,0,0,0,0
Q9UPW6-DECOY,Q9UPW6-DECOY,?,,unknown,1,0,0,1,0,0,0,0
Heme-binding protein 1 OS=Homo sapiens GN=HEBP1 PE=1 SV=1,Q9NRV9,21 kDa,,unknown,0,0,0,0,0,0,7,14
Signal peptidase complex catalytic subunit SEC11A OS=Homo sapiens GN=SEC11A PE=1 SV=1,P67812,21 kDa,,unknown,0,0,1,0,2,3,0,0
Protein DDI1 homolog 2 OS=Homo sapiens GN=DDI2 PE=1 SV=1,Q5TDH0,45 kDa,,unknown,0,0,0,3,0,0,10,5
Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=3,Q15005,25 kDa,,unknown,0,3,0,1,5,6,0,0
MAGUK p55 subfamily member 6 OS=Homo sapiens GN=MPP6 PE=1 SV=2,Q9NZW5,61 kDa,TRUE,unknown,3,3,6,2,2,1,0,0
ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1,Q9NVJ2,22 kDa,,unknown,5,0,3,3,3,7,0,0
ORM1-like protein 1 OS=Homo sapiens GN=ORMDL1 PE=2 SV=1,Q9P0S3,17 kDa,TRUE,unknown,3,5,5,5,0,4,0,0
C-C motif chemokine 5 OS=Homo sapiens GN=CCL5 PE=1 SV=3,P13501,10 kDa,,unknown,6,0,5,0,4,5,0,0
